,host_name,host_since,neighbourhood,property_type,room_type,price
215,Steven,2012-08-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$17,150.00"
216,Agnes&Geri,2012-07-15,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,620.00"
217,Kornélia,2012-01-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,493.00"
218,Pál,2013-10-01,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$14,179.00"
219,Dóra,2013-10-21,,Entire rental unit,Entire home/apt,"$16,796.00"
220,Dóra,2013-10-21,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,796.00"
221,Eszter,2013-11-02,,Entire rental unit,Entire home/apt,"$50,436.00"
222,Kata & Viktor,2013-10-12,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$23,789.00"
223,Klara,2012-12-05,,Entire rental unit,Entire home/apt,"$22,217.00"
224,Virág,2013-11-09,"Budapest, Hungary",Entire home,Entire home/apt,"$25,492.00"
225,Max,2012-11-27,,Entire rental unit,Entire home/apt,"$14,861.00"
226,Judit,2013-03-23,"Budapest, Hungary",Private room in condo,Private room,"$30,353.00"
227,Hun Tamas,2013-11-11,"Budapest, Hungary",Private room in condo,Private room,"$9,589.00"
228,Eugene,2011-10-19,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$37,394.00"
229,Eva,2013-09-09,"Budapest, Hungary",Entire loft,Entire home/apt,"$39,472.00"
230,Beatrix,2013-11-24,,Entire rental unit,Entire home/apt,"$18,677.00"
231,Tamas & Kinga,2013-11-26,"Budapest, Hungary",Entire condo,Entire home/apt,"$18,086.00"
232,Ivett,2013-11-26,"Budapest, Hungary",Entire condo,Entire home/apt,"$17,408.00"
233,Elisabeth,2013-11-26,,Entire rental unit,Entire home/apt,"$38,375.00"
234,Zsolt,2013-11-28,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$28,277.00"
235,Eszti,2013-11-29,"Budapest, Palotanegyed, Hungary",Entire condo,Entire home/apt,"$13,042.00"
236,Balázs,2011-05-24,"Budapest, Hungary",Entire condo,Entire home/apt,"$23,772.00"
237,Melinda,2013-04-11,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$27,143.00"
238,Kata & Viktor,2013-10-12,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$23,014.00"
239,Bella&Mike,2012-05-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$107,570.00"
240,Gabor,2013-11-20,"Budapest, Hungary",Entire condo,Entire home/apt,"$19,295.00"
241,Mike,2011-09-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$22,436.00"
242,Lost Gradient,2013-08-22,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$62,910.00"
243,Katalin,2011-02-19,"Budapest, Hungary",Entire condo,Entire home/apt,"$55,729.00"
244,Lidia,2012-07-02,,Entire rental unit,Entire home/apt,"$20,105.00"
245,Dean Jana,2013-11-26,"Budapest, Pest, Hungary",Entire rental unit,Entire home/apt,"$28,817.00"
246,Ugo,2012-02-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$35,375.00"
247,Judit,2012-11-15,,Entire condo,Entire home/apt,"$17,875.00"
248,Istvan,2013-12-29,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$20,619.00"
249,G A B O R,2013-05-30,"Budapest, Hungary",Castle,Entire home/apt,"$74,732.00"
250,Gabriella,2011-10-23,,Private room in condo,Private room,"$17,829.00"
251,Klara,2013-06-16,Hungary,Entire rental unit,Entire home/apt,"$45,110.00"
252,Judit,2014-01-07,,Entire rental unit,Entire home/apt,"$29,812.00"
253,Peter,2013-08-10,"Budapest, Hungary",Entire condo,Entire home/apt,"$34,143.00"
254,Csilla,2011-07-21,,Entire rental unit,Entire home/apt,"$27,873.00"
255,Mária,2014-01-13,"Budapest, Hungary",Entire condo,Entire home/apt,"$30,700.00"
256,Halász,2014-01-19,"Budapest, Hungary",Entire home,Entire home/apt,"$116,100.00"
257,Zoltán,2014-01-14,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$13,099.00"
258,Tamas & Kinga,2013-11-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,971.00"
259,Diederik,2012-12-03,,Entire rental unit,Entire home/apt,"$30,316.00"
260,Rita,2012-05-15,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$70,543.00"
261,Gábor,2014-02-13,"Budapest, Hungary",Entire condo,Entire home/apt,"$13,453.00"
262,Tunde,2014-02-15,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,158.00"
263,Zoltan,2013-11-17,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$38,953.00"
264,Anna,2014-02-17,"Budapest, Hungary",Entire condo,Entire home/apt,"$16,804.00"
265,Gergő,2014-02-21,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$12,883.00"
266,Toni,2014-03-01,,Entire rental unit,Entire home/apt,"$18,438.00"
267,Laszlo&Judit,2013-08-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,800.00"
268,Balázs,2014-02-17,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,627.00"
269,Gábor,2014-03-08,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$27,136.00"
270,Tamas,2012-09-04,"Budapest, Hungary",Private room in condo,Private room,"$11,426.00"
271,Gyöngyi,2014-03-24,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$51,584.00"
272,Endre És Margó,2014-03-28,"Budapest, Hungary",Entire condo,Entire home/apt,"$21,143.00"
273,Gyongyi,2013-05-22,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$60,593.00"
274,Valeria,2014-03-31,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$15,146.00"
275,David,2014-01-12,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$12,581.00"
276,Tamas,2014-03-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$64,633.00"
277,Zoltán,2014-04-03,"Budapest, Hungary",Entire condo,Entire home/apt,"$61,221.00"
278,Gabriella,2011-10-18,"Budapest, Pest, Hungary",Entire condo,Entire home/apt,"$34,642.00"
279,Luca,2014-04-06,"Budapest, Hungary",Entire condo,Entire home/apt,"$24,247.00"
280,Sung Yup,2013-11-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$17,206.00"
281,Bertalan,2012-09-07,,Entire rental unit,Entire home/apt,"$18,178.00"
282,Ádám,2022-09-27,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,504.00"
283,Zsuzsi,2012-12-13,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,436.00"
284,Balazs,2014-04-12,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$20,811.00"
285,Vicky,2013-02-23,"Budapest, Hungary",Entire condo,Entire home/apt,"$26,068.00"
286,Renata,2014-04-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$15,000.00"
287,Susanne,2014-04-23,"Budapest, Hungary",Entire loft,Entire home/apt,"$16,564.00"
288,Pierantonio,2014-04-23,"Budapest, Hungary",Entire condo,Entire home/apt,"$53,661.00"
289,Janos,2014-04-24,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$72,104.00"
290,Ivette,2014-04-25,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$78,236.00"
291,Attila,2014-04-25,"Budapest, Bu, Hungary",Entire condo,Entire home/apt,"$35,878.00"
292,Zsófia,2014-05-05,"Budapest, Hungary",Entire condo,Entire home/apt,"$21,583.00"
293,Katalin,2014-05-06,"Budapest, Hungary",Entire condo,Entire home/apt,"$121,186.00"
294,Szabolcs,2013-06-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$15,269.00"
295,Márti,2013-09-02,"Budapest, Hungary",Entire condo,Entire home/apt,"$15,235.00"
296,Katalin,2011-02-19,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$58,648.00"
